mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation,mode_8_names,mode_8_activation
CATMA5a50595,-,AT2G40050,+,AT4G24000,+,CATMA1a59605,-,CATMA2a45580,-,AT5G48490,-,AT3G25760,-,AT4G01430,-,AT2G26400,-
CATMA1a56390,-,CATMA4a29020,-,AT3G14680,+,CATMA1a28110,-,CATMA3a25700,-,AT3G02480,+,CATMA5a60680,-,CATMA4a34220,-,AT1G03850,-
CATMA2a45860,-,CATMA1a65113,+,AT5G10625,+,CATMA4a11495,-,CATMA2a28085,-,AT1G17170,+,CATMA2a10420,-,AT2G28190,+,AT5G10760,-
AT4G05180,-,CATMA1a65100,+,CATMA4a12020,+,CATMA1a59350,-,CATMA3a23020,+,AT3G22600,+,CATMA1a28370,-,CATMA2a26586,-,CATMA1a12340,-
AT1G08380,-,CATMA2a38930,-,CATMA3a14340,+,CATMA1a53970,-,CATMA4a18690,-,AT3G27690,-,CATMA3a28050,-,CATMA2a27120,-,CATMA5a35090,-
CATMA1a36595,-,AT4G08570,+,AT3G22460,+,CATMA4a12710,-,AT4G10500,-,CATMA5a46690,-,AT1G29395,-,AT2G15220,-,AT2G14610,-
CATMA2a32570,-,AT1G22770,+,CATMA5a16550,+,AT3G48320,-,CATMA3a23080,-,CATMA5a24103,+,AT1G26380,+,AT1G01180,-,CATMA3a55950,-
CATMA1a29810,-,CATMA2a39540,+,CATMA3a14720,-,CATMA1a50050,-,CATMA1a40610,+,AT1G36622,+,CATMA3a24470,-,CATMA3a38080,-,CATMA3a29390,-
CATMA5a16195,-,AT3G04210,-,CATMA2a23405,-,AT1G01650,-,AT5G02490,-,AT4G04500,+,AT2G29350,+,CATMA4a34540,-,CATMA5a41410,-
CATMA1a39380,-,CATMA4a28530,+,CATMA3a14910,+,CATMA4a23450,-,CATMA1a63980,-,CATMA5a24340,+,CATMA4a23620,-,CATMA5a53360,-,CATMA3a13170,-
CATMA1a63880,-,AT5G01210,-,CATMA3a14930,+,CATMA5a61280,-,AT2G48020,+,AT3G47950,+,CATMA5a58760,-,CATMA3a38160,-,AT4G23150,-
CATMA4a12935,-,CATMA2a42460,-,AT4G08300,-,CATMA4a16700,-,AT5G24200,-,AT4G04490,+,CATMA3a25140,+,CATMA3a14910,-,AT1G08450,-
