mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation
AT5G08080,-,AT1G03550,+,CATMA4a19240,+,CATMA2a17940,+,CATMA3a41500,-,CATMA1a67590,+,AT2G45570,+,AT3G49340,-
CATMA1a11970,-,CATMA3a15240,-,AT3G04660,-,CATMA2a07170,-,CATMA4a10750,-,AT1G78460,-,CATMA2a37990,-,CATMA5a35030,+
CATMA4a23655,-,AT4G38850,-,CATMA5a13670,+,CATMA1a22140,-,CATMA4a18570,-,CATMA5a54890,+,CATMA1a44110,+,AT5G03190,+
CATMA1a64690,-,CATMA1a53980,+,CATMA3a55023,+,CATMA3a20880,+,CATMA1a50790,-,CATMA3a40050,+,CATMA4a19530,-,AT2G01650,+
AT5G07780,-,AT2G25940,+,CATMA3a53410,+,CATMA5a41660,+,CATMA5a32890,+,CATMA4a25030,+,CATMA2a38140,-,AT5G03120,+
CATMA4a23680,-,AT1G03870,-,CATMA4a18290,+,CATMA1a69340,-,CATMA3a43040,-,CATMA5a59630,+,CATMA5a41110,-,CATMA1a30850,-
AT5G08690,-,CATMA1a53650,+,AT4G16180,+,CATMA5a41260,-,AT5G07820,-,CATMA3a21540,+,CATMA1a13240,-,AT4G12470,-
CATMA1a44936,-,AT5G59320,+,AT1G08800,+,AT2G44240,+,CATMA5a50240,-,CATMA3a40350,-,CATMA4a33990,-,AT2G44240,+
CATMA1a25250,-,CATMA5a22820,+,CATMA4a19060,+,AT3G21950,+,CATMA1a43120,-,AT5G09930,+,AT1G32540,-,AT5G09530,-
CATMA1a64615,-,CATMA2a38930,-,CATMA1a52910,+,CATMA3a50260,+,AT3G26030,-,CATMA1a66500,+,CATMA1a41525,-,CATMA4a30155,+
CATMA1a69660,-,AT3G22460,+,CATMA2a31950,+,CATMA3a45680,+,CATMA2a16870,+,CATMA3a42240,+,CATMA1a40250,-,CATMA1a60380,+
CATMA1a64550,-,AT3G46320,-,AT4G16155,-,CATMA4a40735,+,AT3G53710,-,CATMA5a14860,+,CATMA1a61670,-,AT3G03190,-
CATMA2a44200,-,AT2G20670,-,CATMA2a20460,-,CATMA3a13630,-,AT4G02350,-,CATMA5a14940,+,CATMA4a35920,+,CATMA3a24410,+
AT1G04080,-,AT1G76705,+,AT5G05690,+,CATMA2a22990,+,CATMA4a25030,-,CATMA4a29020,-,AT1G58225,+,AT1G21250,+
AT5G06140,-,AT3G62950,-,CATMA3a21540,+,CATMA3a29380,+,CATMA5a46360,-,AT1G06000,+,CATMA4a24970,+,CATMA1a16600,+
CATMA1a45660,-,CATMA4a18000,-,AT3G10250,+,CATMA4a23220,-,CATMA1a61660,-,CATMA5a60600,-,AT1G51890,+,AT1G01430,-
CATMA1a63880,-,AT5G09530,+,CATMA4a22600,-,CATMA3a13480,+,CATMA1a18700,-,AT1G79270,+,CATMA3a42120,+,CATMA5a50460,+
AT2G17190,-,AT1G04220,+,CATMA1a27730,+,CATMA1a26515,-,CATMA1a61380,-,CATMA1a64040,-,CATMA1a59980,-,AT5G26692,+
CATMA1a33770,-,CATMA2a38670,-,CATMA1a26430,+,CATMA2a23850,+,CATMA5a35830,-,CATMA3a43300,-,CATMA2a16320,+,CATMA1a67590,+
AT2G18020,-,CATMA5a43560,+,AT3G10360,+,CATMA2a45580,+,CATMA4a31540,-,CATMA5a61160,+,AT4G34135,+,AT3G12220,+
CATMA1a17440,-,AT2G27420,-,CATMA1a16600,+,CATMA2a45270,+,CATMA1a21105,-,CATMA3a43920,+,CATMA2a25415,-,CATMA1a41430,+
CATMA1a17430,-,CATMA1a39090,+,CATMA3a25470,+,CATMA5a38640,+,AT3G02050,-,CATMA3a44780,+,AT1G21440,-,CATMA3a37890,+
CATMA2a32570,-,AT2G28950,-,CATMA3a55990,-,CATMA5a38435,-,AT5G03900,-,CATMA5a52795,+,CATMA1a26230,+,AT1G33840,+
CATMA2a32540,-,CATMA5a41430,-,CATMA2a41910,+,CATMA3a49380,+,CATMA1a37040,-,AT1G05870,+,CATMA5a53230,+,CATMA5a22030,-
CATMA4a12935,-,AT1G74730,-,CATMA1a39515,+,CATMA1a63120,+,AT4G04610,-,CATMA3a16310,+,AT3G19710,-,AT5G01670,+
CATMA5a12120,-,CATMA4a39300,-,AT5G48490,-,CATMA3a12850,-,AT5G25350,-,CATMA1a62030,+,CATMA_GFT_01989,+,CATMA3a37990,-
AT5G04140,-,CATMA5a43860,+,AT5G46500,+,AT4G03450,+,CATMA5a23420,-,AT1G03230,-,CATMA3a23900,+,CATMA5a36460,+
AT5G03880,-,CATMA4a15770,-,AT1G04780,+,AT5G09520,-,CATMA1a58430,-,CATMA5a51860,+,CATMA4a24945,+,AT4G21840,+
AT1G77440,-,CATMA3a14725,-,CATMA3a54230,+,CATMA4a36503,-,AT5G15450,-,CATMA1a62010,+,AT3G60540,+,CATMA5a36470,+
CATMA5a12260,-,AT1G03495,+,CATMA2a14490,+,AT1G53480,-,AT2G07040,-,CATMA1a61350,+,CATMA5a23520,+,CATMA4a18870,+
CATMA1a10870,-,CATMA3a15645,-,CATMA3a56390,-,CATMA2a42640,+,CATMA5a45650,-,CATMA5a16940,-,CATMA3a21000,+,CATMA3a25595,+
CATMA4a12800,-,CATMA4a18050,+,CATMA1a22290,-,CATMA4a34220,-,CATMA2a21850,-,CATMA4a36980,+,CATMA3a52070,+,AT2G31865,+
AT5G03406,-,AT1G13609,-,CATMA3a11050,-,CATMA3a28460,+,CATMA1a23450,-,AT3G53260,+,CATMA3a49010,-,AT2G36360,+
AT5G03290,-,AT1G09530,+,AT3G09920,+,CATMA1a20325,+,AT2G42230,-,CATMA3a14870,-,CATMA1a65800,+,CATMA1a32195,+
CATMA2a32170,-,AT1G07500,+,AT1G05090,+,CATMA1a56260,+,CATMA5a41410,-,CATMA3a14720,+,AT4G09300,+,CATMA5a61000,-
AT1G55670,-,CATMA3a49950,-,CATMA5a13300,+,CATMA3a28050,-,AT2G17200,-,AT5G06550,+,CATMA2a22880,-,AT2G46650,-
AT5G14230,-,CATMA3a49960,-,AT3G26030,+,CATMA1a65300,-,CATMA5a45815,-,AT1G09130,+,AT3G20600,+,CATMA1a44130,+
CATMA3a45800,-,CATMA4a25656,+,CATMA5a11790,+,CATMA4a12020,-,CATMA4a27200,-,CATMA3a46780,+,CATMA4a32720,-,CATMA3a11080,+
CATMA1a66820,-,CATMA1a55360,-,AT3G08860,+,CATMA5a22950,-,CATMA5a11120,-,CATMA4a37030,+,CATMA3a44560,-,AT5G65020,-
AT5G02810,-,AT1G03020,-,AT3G15650,-,AT2G06255,-,AT1G52040,-,CATMA1a59570,-,AT3G22235,+,CATMA4a26860,+
CATMA1a25880,-,CATMA1a62620,-,CATMA2a31330,-,CATMA4a16160,-,CATMA3a13276,-,CATMA1a59300,+,CATMA1a18150,+,CATMA1a23050,+
CATMA1a19640,-,CATMA5a12040,+,AT3G07360,+,CATMA5a23850,+,AT5G62680,-,CATMA5a18270,+,AT1G35230,+,AT3G26500,+
CATMA1a47535,-,CATMA3a46115,-,AT4G18120,+,CATMA1a10260,+,CATMA5a56370,-,CATMA1a59200,-,CATMA4a29690,+,AT1G17020,-
CATMA1a62990,-,AT5G48490,-,AT3G07320,-,CATMA4a29690,-,AT1G52827,+,CATMA1a59180,+,CATMA5a49760,+,CATMA2a12420,+
AT5G01530,-,CATMA2a25830,-,AT3G19710,+,CATMA3a41600,+,CATMA2a16750,-,CATMA3a48595,+,CATMA5a31185,-,AT1G04980,+
CATMA4a12180,-,CATMA2a45630,+,CATMA5a10980,+,CATMA2a30410,-,CATMA5a54190,-,CATMA1a58800,-,CATMA2a41240,+,AT2G31945,-
CATMA1a62920,-,AT3G01500,-,CATMA5a49340,+,CATMA3a41620,+,CATMA4a20910,-,CATMA4a28365,+,CATMA2a17330,+,CATMA3a45345,+
CATMA3c58142,-,AT2G27830,+,CATMA5a14540,-,CATMA1a17760,-,CATMA3a25835,-,CATMA5a18690,-,AT1G33840,+,CATMA3a14910,-
AT1G14320,-,AT2G28190,-,CATMA3a42080,+,AT5G67210,-,AT3G08720,-,CATMA5a50076,+,AT5G05170,-,AT2G15390,+
CATMA3a37740,-,CATMA1a17760,+,CATMA2a33330,-,CATMA3a25700,+,AT5G02500,-,CATMA5a50073,+,AT1G11610,+,AT4G11650,-
CATMA5a53850,-,CATMA4a14560,+,CATMA1a59165,+,CATMA3a43550,+,CATMA5a50440,+,CATMA3a11110,-,CATMA5a24785,-,AT5G41570,+
AT3G53420,-,CATMA2a20420,+,AT3G05680,+,AT5G10930,-,CATMA5a16790,-,CATMA3a49115,+,AT2G25900,-,CATMA2a15860,+
CATMA1a48010,-,AT3G27690,-,AT5G25980,-,CATMA3a16945,-,CATMA3a41520,-,CATMA5a49880,+,AT3G23080,-,AT1G30900,+
AT2G02150,-,CATMA5a58780,-,CATMA1a42620,+,CATMA3a10360,+,AT1G03310,-,CATMA1a58235,-,AT1G05000,+,CATMA4a26800,+
AT2G16340,-,CATMA1a22290,-,AT3G04290,-,CATMA4a19300,+,AT2G31880,-,AT5G05170,+,CATMA4a35700,+,CATMA5a20790,-
CATMA1b22590,-,AT3G26960,-,AT1G04140,+,AT5G06290,+,AT1G03290,-,AT5G15450,+,AT1G65510,+,AT5G07690,-
AT2G02070,-,CATMA3a14340,+,AT3G50950,+,CATMA3a10420,-,CATMA5a14440,-,CATMA3a10615,+,AT4G09030,+,CATMA2a15760,+
CATMA3a38175,-,CATMA3a38015,-,AT5G47690,+,CATMA5a57480,-,CATMA1a14705,-,CATMA3a10403,+,CATMA3a16710,+,CATMA5a43115,+
CATMA5a61610,-,CATMA1a69770,+,CATMA1a35155,+,AT1G66390,-,CATMA1a29460,-,CATMA5a19710,-,CATMA5a12350,-,CATMA5a21760,+
CATMA1a48500,-,CATMA4a30480,-,CATMA5a16790,+,CATMA3a17080,+,CATMA1a14280,-,AT2G15020,+,CATMA2a25610,-,CATMA5a37745,+
CATMA5a53995,-,CATMA2a27340,-,CATMA1a12900,+,AT2G37870,-,CATMA1a26160,-,AT5G16370,-,CATMA1a67745,-,CATMA1a52230,+
CATMA1a67070,-,CATMA3a56110,-,AT4G23990,-,CATMA4a22440,+,CATMA4a29070,-,AT5G17050,+,AT3G06330,-,CATMA3a27060,+
CATMA2a15520,-,CATMA1a31610,-,AT2G13820,-,AT3G45970,-,AT3G06250,-,AT3G09440,+,CATMA3a40050,-,CATMA3a10403,+
CATMA5a51300,-,CATMA3a26860,-,CATMA2a12320,-,CATMA3a14200,+,AT5G03420,-,AT1G64780,+,CATMA4a30120,+,AT2G34940,+
AT2G47170,-,CATMA4a19140,+,CATMA2a16750,+,AT2G10940,+,CATMA5a13670,-,CATMA5a20420,-,AT1G61095,+,CATMA1a57910,-
CATMA1a40170,-,CATMA5a13515,-,AT3G56310,+,AT3G05730,+,AT1G16515,+,CATMA3a53140,-,AT2G35300,+,CATMA2a31940,+
CATMA4a27260,-,CATMA5a23655,-,CATMA1a44860,+,AT5G06760,-,CATMA1a24810,-,AT5G03190,+,AT2G22860,+,AT3G04720,-
CATMA3a46820,-,AT2G02060,+,CATMA3a22700,+,CATMA3a48910,-,CATMA4a22160,-,CATMA1a51830,+,CATMA2a41020,-,CATMA1a54343,-
CATMA4a27340,-,AT4G04840,-,CATMA3a26965,+,AT3G22235,+,CATMA3a40050,-,CATMA1a50880,+,CATMA1a62790,-,CATMA4a29005,+
AT3G56150,-,CATMA1a64040,-,AT1G70270,-,CATMA1a56230,+,AT3G12640,-,CATMA5a48205,+,AT5G06690,-,CATMA5a59480,-
CATMA5a38835,-,CATMA5a23890,-,AT4G29210,+,AT3G48080,+,CATMA1a28820,-,AT3G07700,+,AT3G22231,+,CATMA4a14710,+
AT1G01910,-,CATMA5a51370,-,CATMA3a49050,-,CATMA3a50520,-,AT2G38210,+,CATMA3a55860,+,AT4G27440,-,CATMA1a57190,+
CATMA1a48885,-,CATMA5a39790,-,CATMA5a17820,+,AT5G03350,+,CATMA2a21655,-,CATMA3a56240,+,AT3G47960,-,CATMA4a14770,+
CATMA5a54320,-,CATMA1a18460,-,CATMA2a35200,+,CATMA5a45510,-,CATMA4a22600,+,AT3G07360,+,CATMA3a14780,+,CATMA4a36370,-
CATMA5a49060,-,AT1G55330,-,CATMA5a17830,+,AT5G03120,+,CATMA1a23940,-,CATMA1a49230,+,CATMA1c71089,+,AT5G57580,+
CATMA1a61830,-,CATMA5a13750,+,CATMA3a16100,-,AT5G02890,+,CATMA2a32005,+,AT5G01270,+,AT4G01430,+,AT4G11850,+
CATMA1a61610,-,CATMA3a48880,+,AT5G18580,+,CATMA1a27580,+,CATMA1a12180,-,CATMA2a17350,-,CATMA3a43940,+,AT2G22240,+
CATMA1a26520,-,CATMA4a36650,+,CATMA5a45815,+,CATMA5a50460,+,CATMA1a20660,-,CATMA1a48496,+,AT3G10930,+,AT3G05410,-
CATMA5a54420,-,CATMA4a36550,-,CATMA1a24995,-,AT5G19240,+,CATMA3a52930,-,AT1G10760,+,AT5G55410,+,CATMA5a48200,+
AT1G32570,-,CATMA1a24995,-,CATMA3a23800,-,CATMA3a15890,-,CATMA3a49010,-,CATMA1a48050,+,CATMA3a46480,+,CATMA1a25450,+
CATMA2a29072,-,CATMA1a48460,-,CATMA4a39265,-,AT2G41100,+,CATMA1a50170,-,CATMA1a47890,+,CATMA4a29300,+,CATMA2a30940,+
CATMA2a28820,-,AT2G43535,-,CATMA5a18970,+,AT1G13470,+,CATMA2a23190,-,CATMA2a18340,+,CATMA1a68720,-,CATMA1a57260,+
CATMA3a56700,-,AT5G10625,+,CATMA5a19130,-,CATMA1a53700,+,AT2G02870,-,CATMA5a21990,+,AT5G01540,+,AT1G56120,+
CATMA2a28685,-,CATMA2a35456,-,CATMA1a27885,+,CATMA1a64376,+,CATMA3a25595,-,AT3G05640,+,AT2G37770,+,CATMA5a38610,-
AT3G01060,-,AT5G63310,-,AT1G03390,-,CATMA1a64320,-,AT5G01710,-,CATMA4a32050,+,CATMA1a24060,+,AT3G51330,+
CATMA1a13325,-,CATMA4a26470,-,CATMA3a47710,+,CATMA5a43220,-,CATMA4a19055,-,CATMA4a27330,+,CATMA1a50410,+,AT5G05030,-
CATMA4a11225,-,CATMA3a13630,+,CATMA5a37060,-,AT5G25980,+,CATMA3a19170,-,AT1G57590,+,CATMA5a22875,+,CATMA1a62010,+
CATMA3a21010,-,CATMA3a56290,-,CATMA2a36370,-,AT1G19320,+,CATMA4a38250,-,AT3G04720,-,AT5G06860,-,CATMA4a17500,-
CATMA1a49705,-,CATMA3a19920,+,AT1G74890,-,AT3G22231,+,CATMA1a41325,-,CATMA1a47690,+,AT3G09520,+,CATMA1a25180,+
CATMA1a21975,-,AT5G04760,+,CATMA3a47505,-,AT4G34230,-,CATMA5a47920,-,CATMA4a27200,+,AT3G25655,+,AT4G37990,-
CATMA1a12320,-,AT4G01610,+,AT3G30840,-,AT3G25760,-,AT2G23150,-,AT3G03770,+,CATMA3a19460,-,CATMA1a62540,-
