	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60
AT1G01140	7688.74977525874	7541.0588686622	7151.26135338277	4573.92295029384	3787.64322558479	4449.45824937331	1853.4641738899	2917.78596755946	2573.44134461753	1065.32835640775	957.516815234994	929.603468244085	3377.45162355843	3662.31837146732	4219.54787414666	2639.48876979119	3215.50633195451	3882.31116433717	2807.02868973713	2538.85696792569	1802.36588135337	631.704334220934	584.363914277356	684.056458848301	380.100711546122	338.047832095089	317.423940916494	232.107644007238	280.968311223589	281.755292110037
AT1G01160	3881.23049488396	3808.21281972941	4164.81480737549	4210.67409787659	4266.70214618516	4262.64459903591	4950.86403495423	4660.64473293999	5131.50355769351	5939.90247412333	5749.27005025714	6244.12895650744	4125.48324360509	3922.00030277751	4311.24553405396	3878.43247806053	3809.88780543701	4116.38473636481	4440.81930364697	4241.83038627094	4567.74004466241	5091.91978493238	4829.49255005975	4851.5126408094	5432.76759198149	5669.92383478705	7219.17800821815	6585.05393472258	6945.53665344711	8090.14558491749
AT1G04007	169.759160687835	188.85510589154	180.362488984931	194.659672108769	177.305326758518	218.611718479929	217.123319943173	271.445244493174	360.896953508115	248.455418729909	307.128035075375	223.96832471483	189.835238348776	150.588748826781	247.438129908566	79.3831208959757	80.6091119029918	215.158535904191	238.862841785195	105.878582946857	332.180223481988	244.06758367627	196.739754706605	102.352587358848	194.504660986492	291.649110042822	429.142981574255	210.097436385862	260.363968400525	328.415404179215
AT1G01170	2616.97148239299	2013.87022430979	1909.17034636642	5109.23704859296	3806.37737331776	5493.11627162294	5074.12675304697	4598.5428688862	3810.94879599336	6501.04812715722	4256.71118296776	5182.30322427508	2934.77200391958	2642.33057941392	2654.86558207779	2752.89322821402	2421.81661475582	2272.16871432888	2159.91334385501	2376.13830360737	2787.3797932558	2419.14046173244	3127.92788584132	4370.45548022281	2414.23342567967	2052.14919248313	6726.19557483946	10186.7242727659	11411.0596798273	12144.1914758511
AT1G04013	20.5497931358958	13.5835458993915	24.0483318646575	17.9596721290829	25.4249147804667	7.38169439023137	11.3085062470403	16.0262874977519	10.252754361026	29.0874636561844	16.6766353887082	14.841274529296	21.0030476470986	16.7320832029757	13.8274249066552	7.56029722818816	7.08651533213115	18.9150361234454	21.0761330986937	20.0612051899309	20.9577428064346	15.5533264107427	17.5660495273754	18.7646410157888	41.5735153253571	15.908133275063	65.6127699101134	162.07516521195	161.088498434857	145.364195292439
AT1G01180	130.446512949599	141.09360579368	120.241659323287	78.2114754008447	35.4610653517035	78.9273477109354	187.721203700868	143.234944511158	229.661697686982	426.616133624038	434.982239722138	505.952540771454	58.1622857919653	68.2668994681409	14.5551841122686	85.0533438171169	79.7232974864754	99.3039396480884	78.8403497395578	169.405732714972	204.337992362737	427.118271433472	395.821649350193	714.762235055955	803.259706822078	790.103952661464	1613.71947616765	3097.43649071727	2672.94520077374	2751.15199238654
AT1G01200	4.91408096727942	6.57268349970558	4.00805531077624	2.8967213111424	0	2.27129058160965	3.39255187411208	0	0	15.7557094804332	20.8457942358852	9.4444474277338	0	0	2.18327761684029	0	0	3.15250602057423	3.12239008869536	0	0	10.7676875151296	0	20.4705174717696	51.9668941566964	21.2108443667507	12.4132267397512	38.0176313460131	73.051760918133	52.0439711540832
AT1G01220	1021.68210656073	1168.18494734767	1068.36941006136	946.069180219106	1049.78134975137	897.727602381215	894.502844140885	964.582178770945	804.841217340541	1047.14869162264	896.369152143064	1020.00032219525	1205.2518111335	1074.19974163104	1068.35051384051	962.047822286944	938.077467090861	1124.65652283986	935.15583156426	767.898354214576	777.532258118722	1008.57339725047	941.540254667322	639.7036709928	1256.11407018758	877.598685674311	478.79588853326	482.223639704692	524.474180950699	419.941008622603
AT1G01225	1495.22081795311	1033.6640250537	1323.10359203514	2273.92622924678	2456.18058313403	2671.03772397295	2188.19595880229	2295.76568405297	2373.51263457752	1433.76956271942	1717.69344503694	1803.88945869716	3063.21371837684	2516.50531372755	2860.09367806078	3787.70891132227	4200.53196312074	3234.47117710916	3311.29468906143	3765.9340187098	2969.71215567178	2005.1826972619	2237.91470978763	2500.81488446785	1331.8372588159	1361.47107279081	1337.08185168177	1104.51223699996	1307.4392082271	938.586100468466
AT1G01230	3292.43424807721	3446.7152272456	3041.22330192122	3180.02065537212	3211.56818279579	3140.05922907534	4864.91938747672	4845.94868213274	4188.25015647912	6684.05675266071	6181.47285074783	6074.12890280823	4245.03905328858	3794.16718710677	3697.01676451622	6657.7867465732	6478.8466424009	4121.90162190081	5588.29766124252	6922.23030192559	5450.06101681331	5240.27459069638	6764.10013800803	8024.44284893368	5147.6920583219	5197.98254762685	5984.94860666575	7417.4399684037	7346.38477745943	6767.51086972579
