Gene1	Gene2	Corr_strength
AT5G23240	AT4G39090	0.8606061822231269
AT5G23240	AT4G19120	0.847231710890194
AT5G23240	AT1G51090	0.8494906180151913
AT5G23240	AT3G18080	0.8778103672779488
AT5G23240	AT5G61800	0.8503404627617301
AT5G23240	AT3G05880	0.9544285378056826
AT5G23240	AT5G56310	0.8055046754870578
AT5G23240	AT3G50500	0.8414973579435788
AT5G23240	AT3G10410	0.9716552629303685
AT5G23240	AT5G57110	0.948534803002941
AT5G23240	AT1G09190	0.8394829453040719
AT5G23240	AT5G27280	0.9090282754708647
AT5G23240	AT2G45560	0.9276770031821585
AT5G23240	AT1G49650	0.8662382349961975
AT5G23240	AT3G52180	0.9284451954978402
AT5G23240	AT2G29630	0.9552785413032305
AT5G23240	AT1G67660	0.918995295875532
AT5G23240	AT4G18520	0.8697683059269808
AT5G23240	AT4G18240	0.9465036665828499
AT5G23240	AT1G67970	0.8895912057479775
AT5G23240	AT2G17840	0.9333874230236933
AT5G23240	AT5G14550	0.9717444714260589
AT5G23240	AT5G11150	0.8922514715959327
AT5G23240	AT3G28290	0.8011199873287307
AT5G23240	AT5G02860	0.9163564919838277
AT5G23240	AT1G79440	0.9272217209114141
AT5G23240	AT4G33700	0.9450568409892266
AT5G23240	AT1G27630	0.948914878543696
AT5G23240	AT1G80480	0.8307974337701514
AT5G23240	AT1G26665	0.9441627507901881
AT5G23240	245432_at	0.8630203273290697
AT5G23240	AT3G02330	0.8767567655313427
AT5G23240	AT2G43550	0.826761430224157
AT5G23240	AT4G02370	0.8718909782903458
AT5G23240	AT5G62720	0.9233270816511774
AT5G23240	AT5G63810	0.87823739615814
AT5G23240	AT1G70820	0.8460288390478229
AT5G23240	AT3G59820	0.8397281071226553
AT5G23240	AT5G03240	0.9128220569417095
AT5G23240	AT5G43440	0.8017420582457635
AT5G23240	AT4G17140	0.912972633426497
AT5G23240	AT3G55450	0.8733426777090403
AT5G23240	AT1G51610	0.9056166341251874
AT5G23240	AT1G48210	0.9528613021208144
AT5G23240	AT5G18540	0.9534180099565972
AT5G23240	AT3G61920	0.8051123161167164
AT5G23240	AT1G69830	0.9232198355567058
AT5G23240	AT1G49220	0.877567414764548
AT5G23240	AT3G57770	0.8189614508793039
AT5G23240	AT2G15970	0.8799117728272068
AT5G23240	AT1G31850	0.9133794617045327
AT5G23240	AT1G12710	0.8240315907922521
AT5G23240	AT1G68050	0.865362647359088
AT5G23240	AT3G14310	0.9084930065745105
AT5G23240	AT2G01170	0.9314998484165365
AT5G23240	AT2G39900	0.8593399165566222
AT5G23240	AT2G02100	0.9187154878548938
AT5G23240	AT5G42500	0.857007824608462
AT5G23240	AT3G58570	0.9467449537209235
AT5G23240	AT3G16180	0.916093364100201
AT5G23240	AT3G01310	0.9050552803321348
AT5G23240	AT3G26580	0.894316826482472
AT5G23240	AT1G12845	0.8325672948147447
AT5G23240	AT2G43535	0.8464370717826404
AT5G23240	AT3G56720	0.8309078657474254
AT5G23240	AT4G05330	0.870202962792875
AT5G23240	AT1G21680	0.8565166826457061
AT5G23240	AT1G53035	0.8930223179093347
AT5G23240	AT4G11600	0.8926289846118587
AT5G23240	AT4G19390	0.9457465966621358
AT5G23240	AT5G10530	0.8388815306692446
AT5G23240	AT1G06460	0.9164295957239325
AT5G23240	AT3G46440	0.9047620470778945
AT5G23240	AT1G13930	0.8470074697392891
AT5G23240	AT5G63420	0.9739730439973115
AT5G23240	AT2G19450	0.9325888450977005
AT5G23240	AT4G33490	0.972256666105394
AT5G23240	AT4G14230	0.8818701747249462
AT5G23240	AT5G27930	0.9011452980680325
AT5G23240	AT3G05800	0.8358226084131766
AT1G53540	AT4G10250	0.9638845165806585
AT1G53540	AT5G12030	0.9444050260110637
AT1G53540	AT3G46230	0.9902594176587978
AT1G53540	AT4G25200	0.9435340117999853
AT1G53540	AT1G59860	0.8576684739755449
AT1G53540	AT4G12400	0.9287015934290487
AT1G53540	AT1G72660	0.9429783250552026
AT1G53540	AT5G48570	0.8751381864033454
AT1G53540	254414_at	0.9373234460637258
AT1G53540	AT5G25450	0.835023850069998
AT1G53540	AT2G32120	0.8632904134858381
AT1G53540	AT1G17870	0.8905613574750565
AT1G53540	AT4G03320	0.8912323103615764
AT1G53540	AT1G21550	0.8155420023971361
AT1G53540	AT3G20180	0.8062123514430196
AT1G53540	AT5G47830	0.8848424900975242
AT1G53540	AT4G29770	0.8936044803176579
AT1G53540	ATMG00630	0.8707059984402913
AT1G53540	AT2G26790	0.8140564761443865
AT1G53540	AT1G59980	0.8685214091644822
AT1G53540	AT5G07330	0.8100323114613138
AT1G53540	AT3G12510	0.8289410362302073
AT1G53540	AT3G53230	0.81694302663269
AT1G53540	AT4G19430	0.8535285944175806
AT1G53540	ATMG00160	0.8284399685118201
AT1G53540	ATMG00270	0.8085318069175497
AT1G53540	AT5G15250	0.8092291391096752
AT1G53540	AT5G27660	0.8487906937961339
AT1G53540	ATMG00640	0.8292613451989951
AT1G53540	ATMG00650	0.8371113234831916
AT1G53540	AT2G07675	0.8737633163203058
AT1G53540	AT1G01940	0.9004847653210706
AT1G53540	257239_at	0.9349980564115445
AT1G53540	AT1G76280	0.8494318744764683
AT1G53540	ATMG00690	0.8564313735003876
AT1G53540	AT2G30000	0.9152145480752892
AT1G53540	AT4G26780	0.8781697174080555
AT1G53540	AT5G58787	0.8466661814277002
AT4G10250	AT5G12030	0.8609499441272598
AT4G10250	AT3G46230	0.9493152890715901
AT4G10250	AT1G48720	0.8444775437089138
AT4G10250	AT4G25200	0.8733040067540798
AT4G10250	AT4G12400	0.8384191390902763
AT4G10250	AT1G72660	0.9188308732569395
AT4G10250	AT2G07712	0.8210535621029056
AT4G10250	254414_at	0.8984688413936526
